,0
1948-01-01,0.0
1948-02-01,0.023875908192983037
1948-03-01,0.11141165443300152
1948-04-01,0.08415291277538207
1948-05-01,0.03514297616125947
1948-06-01,-0.032290204786641304
1948-07-01,-0.07905487352333451
1948-08-01,-0.08852589920432309
1948-09-01,-0.057797119640188584
1948-10-01,0.006445722145320686
1948-11-01,0.06409389576680735
1948-12-01,0.023874601383431296
1949-01-01,0.2181542273258254
1949-02-01,0.20768394246865385
1949-03-01,0.11980104953093895
1949-04-01,0.14046840840485997
1949-05-01,0.17875109308314444
1949-06-01,0.09586580322035951
1949-07-01,-0.058442763521953135
1949-08-01,-0.11891254705759245
1949-09-01,0.0015360505975159306
1949-10-01,0.14200786819663175
1949-11-01,0.21228125184608643
1949-12-01,0.18323999741469751
1950-01-01,0.2570977890788088
1950-02-01,0.21085851768891767
1950-03-01,0.22102357396107378
1950-04-01,0.1475002022807722
1950-05-01,0.11779564779201956
1950-06-01,0.050096301010126056
1950-07-01,-0.06736016507170459
1950-08-01,-0.25553502566209796
1950-09-01,-0.15405017208900118
1950-10-01,0.024880561180756898
1950-11-01,0.08437641318485847
1950-12-01,0.17317660534960724
1951-01-01,0.13568203163096476
1951-02-01,0.08090483249239575
1951-03-01,0.16815712196083843
1951-04-01,0.17545987124164336
1951-05-01,0.11516151985849846
1951-06-01,-0.04633908037565298
1951-07-01,-0.05755143730788845
1951-08-01,-0.07031368456558747
1951-09-01,-0.06940655840912115
1951-10-01,0.019202931618094443
1951-11-01,0.0805151366390788
1951-12-01,0.1478822779451697
1952-01-01,0.09420472496413707
1952-02-01,0.07209872828380653
1952-03-01,0.04599327270801131
1952-04-01,0.014924317911541488
1952-05-01,0.04570962650408767
1952-06-01,-0.015652563792604487
1952-07-01,-0.11103523599718894
1952-08-01,0.012876850374080075
1952-09-01,0.032255411075401114
1952-10-01,0.10403205082647368
1952-11-01,0.090107085290467
1952-12-01,0.11388829942787759
1953-01-01,0.07990093707519424
1953-02-01,0.14091272374134026
1953-03-01,0.08907322190214088
1953-04-01,-0.012444654987074661
1953-05-01,-0.12004136918639279
1953-06-01,-0.26173324599727077
1953-07-01,-0.383391355275454
1953-08-01,-0.32584102970294615
1953-09-01,-0.19968873076118482
1953-10-01,-0.0628135486129065
1953-11-01,0.02357947358214795
1953-12-01,0.09050701919262748
1954-01-01,0.11807284658432338
1954-02-01,0.08587265509975839
1954-03-01,0.09415964390940033
1954-04-01,0.047072360070060375
1954-05-01,0.046186627143073554
1954-06-01,0.04143580343287963
1954-07-01,0.02416126187823314
1954-08-01,0.024880516273974
1954-09-01,0.05362174960800564
1954-10-01,-0.02264618154764412
1954-11-01,-0.07110324284260056
1954-12-01,0.0018206617651274585
1955-01-01,0.0574521173015253
1955-02-01,0.07512481242722134
1955-03-01,0.026843125522830254
1955-04-01,-0.02925333754201887
1955-05-01,0.05130088066872727
1955-06-01,-0.04084695230290128
1955-07-01,0.008118984385777926
1955-08-01,-0.025888539942539708
1955-09-01,-0.02194245072309394
1955-10-01,-0.004224502833394736
1955-11-01,0.009381890658751309
1955-12-01,-0.001358343075204039
1956-01-01,-0.062459436461102635
1956-02-01,0.015389312082527659
