,Train ME,Train RMSE,Train MAE,Train Points,Train r2,Validation ME,Validation RMSE,Validation MAE,Validation Points,Validation r2,Test ME,Test RMSE,Test MAE,Test Points,Test r2,Comp R2
373338113431502,0.07992634578164441,1.0015911841128993,0.7249834264277559,305.0,0.9932620319975134,0.06379273564785164,1.81613357300606,1.2232536974685768,131.0,0.9774163739886056,-0.05423637953951804,4.013825438385927,3.247261300897405,109.0,0.8327105388406111,0.9818293515902967
373418113430601,-0.0147092209482721,0.39960467458871757,0.31744174929253555,83.2,0.9979353824444879,-0.06927692649568498,0.7671970726442947,0.6139159633031239,36.0,0.9813144756962278,0.5199872762726019,3.3163210442479403,3.0483366718686047,29.8,0.6098537119429734,0.993761304118866
373419113434201,0.03408448655912212,1.019519652630851,0.7058587603357626,406.0,0.9909536251931526,0.18012065562728632,1.4806334574552926,1.0090711914680908,174.0,0.9779418191607787,0.33122322655758857,3.426426278649264,2.689596273740871,145.0,0.8551957739403612,0.9751220431756262
373446113431102,0.03460709666181129,0.9207269929632576,0.7220854644973188,61.0,0.9962115917922201,-0.2018829922105363,1.996104686957656,1.6054949799721456,27.0,0.9201162494782495,0.9663744752890455,5.14677166821396,4.141825127312024,22.0,0.4662030980459452,0.9868847675878
373457113423801,-0.06511220465327919,1.148842982548934,0.7666260181318028,308.0,0.9876392787205746,0.22569945738929906,1.5942291368890524,1.1124965331286245,132.0,0.9771077967857321,0.8928293142009714,4.05192574108843,3.184714881866679,110.0,0.7270429513761723,0.9810443670529586
373527113415101,-0.0763731856526548,2.748577168963666,1.944548659964153,386.0,0.9864350643455155,0.18718211998391626,3.8818894340847634,2.7878539825834983,166.0,0.9762733185934096,0.29125285649756416,10.83187084318553,8.535182331541577,138.0,0.6401278587273668,0.9782154845984596
373617113415101,-0.22376231381930417,1.7306502444185559,1.3099599034903602,139.2,0.9953384171100195,-0.653229241781637,2.865005284043686,2.007649647153694,60.0,0.9747527436249654,1.310013831564996,6.297403409733986,5.171756355473964,49.8,0.5048975623768664,0.9872414040404962
373641113421801,-0.009039175333720895,0.9650576132378264,0.7625214446569945,79.4,0.9972724909440996,-0.04185391955803165,1.3522341000917588,1.047271289073573,35.0,0.9893695791190872,-0.229430123423852,2.6980002857413905,2.2431484636366936,28.6,0.6010399368486534,0.9959485427262714
373643113415301,0.22446053965281149,1.9365577522805377,1.4511439589963466,242.0,0.9932695225736484,-0.3134979244304654,3.315924350045065,2.2962456787635706,104.4,0.9763620989416972,-1.7177000320445834,8.391353724997895,7.042028097249508,86.6,0.6610497373622305,0.9845908289857211
373644113411501,0.1275241721859879,2.5508111956501507,1.9714598756625317,406.0,0.9973593998571137,-0.021471723793243226,3.1917115897361157,2.494897196675379,174.0,0.9970085402077073,-1.8394686766185573,19.925302701993832,17.652408801822855,145.0,0.10822015559884732,0.9908150639887437
